tweetid	tweetid-href	tweetername	tweeterhandle	tweetbody	numberoflikes	numberofretweets	timeoftweet	
9. feb.	https://twitter.com/SimonTordrup/status/829603745436725248	Simon Tordrup	@SimonTordrup	Nu er EfB da for alvor blevet det gamle AGF - Galehus og georgisk samlepunkt i en stor pærevælling. #sldk #ultratwitteragf	5	0	1486627920	
9. feb.	https://twitter.com/Lars_Ohlsen/status/829565663966527489	Lars Ohlsen	@Lars_Ohlsen	O, hvor er den blød og rar... #ultratwitteragf #koldtpic.twitter.com/M5SeVgHUds	2	0	1486618841	
8. feb.	https://twitter.com/MortenKock/status/829411144649551872	Morten Kock	@MortenKock	SÅ er vi igang!!! #VerdensBedsteAlexander pisser territoriet af...og 1-1 #Juelemanden #agfoks @AlexanderJuel5 #ultratwitteragf #KSDHpic.twitter.com/BR2GpS6hjn	0	0	1486582001	
8. feb.	https://twitter.com/steffen_1982/status/829366775590612992	Steven Andersen	@steffen_1982	Vold hører ikke hjemme nogen steder. Heller ikke på en fodboldbane. #sldk #ultratwitteragf https://twitter.com/gislethorsen/status/829341428413251584 …	1	0	1486571422	
8. feb.	https://twitter.com/AGFFodbold/status/829366689628291077	AGF	@AGFFodbold	Her får højdepunkter og mål fra dagens testdyst mod Örebro SK https://youtu.be/xpu7OrOWHQg  #ksdh #ultratwitteragf	3	0	1486571402	
8. feb.	https://twitter.com/AGFFodbold/status/829360103161749504	AGF	@AGFFodbold	Fin testkamp, lød det efter 1-1 mod Örebro SK fra både cheftræner og målscorer: https://youtu.be/OGVsN-S89gY  #ksdh #ultratwitteragf	3	0	1486569832	
8. feb.	https://twitter.com/JonasSauermilch/status/829343005215703041	Jonas Sauermilch	@JonasSauermilch	Spelmann. #sldk #ultratwitteragf https://twitter.com/fotbollskanal/status/829319417737707522 …	5	1	1486565755	
8. feb.	https://twitter.com/tipsbladet/status/829334165569024000	tipsbladet.dk	@tipsbladet	AGF fik 1-1 mod svenskere i den sidste træningskamp i Portugal. #sldk #ultratwitteragf http://www.tipsbladet.dk/nyhed/superliga/agf-fik-1-1-mod-svenskere …	1	0	1486563648	
8. feb.	https://twitter.com/HolstHaars/status/829315265250865152	Chr. Holst Haarsløv	@HolstHaars	Sagde det jo... #ultratwitterAGF https://twitter.com/holsthaars/status/829071561315450882 …	1	0	1486559141	
8. feb.	https://twitter.com/KasparOttosen/status/829309523949187074	Kaspar Ottosen	@KasparOttosen	Hvis de hvide ikke scorer et eneste mål på den træningslejr, så slipper Glen ikke af sted med at kalde det god forberedelse #ultratwitteragf	5	0	1486557772	
8. feb.	https://twitter.com/BPDue/status/829308818014212097	Bjørn Due	@BPDue	Jeg vil dæleme også hellere vinde alle kampene i foråret, end i ligegyldige træningskampe #ultratwitteragf #agfoks	5	0	1486557604	
8. feb.	https://twitter.com/StigHoeg/status/829306765846179840	Stig Hoeg Andersen	@StigHoeg	Puha det kan blive en træls halvsæson med det forsvarsspil og mangel på offensiv gennemslagskraft!! #agfoks #ultratwitteragf	0	0	1486557115	
8. feb.	https://twitter.com/AGFFodbold/status/829296418380722176	AGF	@AGFFodbold	10 min til kick-off på vores sidste testkamp på træningslejren. Følg med her eller over hos https://www.footballtv.org/football-tv/schedule … #ultratwitteragf #ksdhpic.twitter.com/MxkBzOOoXm	6	2	1486554648	
8. feb.	https://twitter.com/shc2012/status/829255729819291648	Søren HøjlundCarlsen	@shc2012	Snart på vej hjem til sne og kulde - heldigvis venter endnu en fodboldkamp i lunt vejr. Her er dem AGF stiller med kl. 13. #ultratwitteragf pic.twitter.com/f5mT5UIsVB	6	0	1486544947	
