tweetid;tweetid-href;tweetername;tweeterhandle;tweetbody;numberoflikes;numberofretweets;timeoftweet
10. mar. 2016;https://twitter.com/AarhusUni/status/708193854235652102;Aarhus Universitet;@AarhusUni;Fluelarver kan iflg Ricarda Engberg, lektor i husdyrvidenskab fra #AarhusUni, bruges som proteinkilde i husdyrfoder. http://www.jyllands-posten.dk/protected/premium/viden/ECE8499364/saadan-bliver-fluer-til-foder/ …;0;0;1457681547
10. mar. 2016;https://twitter.com/AarhusUni/status/707920089710989312;Aarhus Universitet;@AarhusUni;#AarhusUni er vurderet som nr. 46 bl. Europas uni'er på @timeshighered Men hvor stor er Aarhus ift andre euro. byer?;10;1;1457616276
9. mar. 2016;https://twitter.com/UltraPedel/status/707877734203183104;Thomas G. Sørensen;@UltraPedel;Video: Bygningsingeniørerne på #aarhusuni får deres medstuderende til at svæve. https://www.facebook.com/Ingeniorhojskolen/videos/10154071818886424/?permPage=1 … #etfdkpic.twitter.com/pY1HKYURxs;0;1;1457606178
9. mar. 2016;https://twitter.com/Ditte_Engholm/status/707644047838543872;Ditte Høyer Engholm;@Ditte_Engholm;Do you, Ditte, take this #research to be your job and intest? #science #phdlife #phdchat #visualization #aarhusuni pic.twitter.com/tPqLyDiQhU;4;1;1457550463
9. mar. 2016;https://twitter.com/y_marriex/status/707617571449741313;Martin Riexinger;@y_marriex;#aarhusuni #statsbiblioteketpic.twitter.com/wLXalj10U0;0;0;1457544150
9. mar. 2016;https://twitter.com/UlrikV_AU/status/707546813688053760;Ulrik Vosgerau;@UlrikV_AU;Superfin ny studenterproduceret video om dramaturgi ved #artsaudk #aarhusuni https://youtu.be/rpkSW4N9Kt4 ;2;1;1457527280
9. mar. 2016;https://twitter.com/AarhusUni/status/707523777018642433;Aarhus Universitet;@AarhusUni;#PhD-stud. på #AarhusUni? Folkeuni. har #ForskerFight2016, som afholdes d. 24/9. Der kæmpes om præmie på 10.000 kr. http://heartsandminds.fuau.dk/viden/phd-studerende-soeges-til-hearts-minds-forskerfight-2016/ …;2;2;1457521788
8. mar. 2016;https://twitter.com/Studentervaekst/status/707479210437251072;Student Incubator;@Studentervaekst;. @bjarkebekhoj speaks at the breakfast session today in #studentervaekst #aarsome #aueship #svaa #aarhusuni pic.twitter.com/Ly34PwTKZc;1;0;1457511162
8. mar. 2016;https://twitter.com/TinYardbird/status/707369472764432384;Tine;@TinYardbird;When you are stuck between #socialconstructivism & #cognitive learning.. #thesis #gis #howamIgoingtostartthisthesis #workitbrain #aarhusuni;0;1;1457484999
6. mar. 2016;https://twitter.com/stllau/status/706786967531425792;ST Learning Lab;@stllau;Trailer fra Science Media Lab @stllau til De Offentlige Foredrag i Naturvidenskab https://vimeo.com/152422010  #sciencecommunication #AarhusUni;0;0;1457346119
